city,country,activities
Tabuk,Saudi arabia,"[""Al Tawba Mosque"", ""Al-Hizma"", ""Al-Shifa Park"", ""Al-Zareeb Castle"", ""Alqan Village"", ""Bir Ibn Hayan"", ""Duba Beaches"", ""Golden Calf Altar"", ""Greenland Park"", ""Hasma Desert"", ""Hijaz Railway Station"", ""Jabal Lawz"", ""Jabal Maqla"", ""Maghaer Shuaib"", ""Moses Well"", ""NEOM Project"", ""Raes Lake"", ""Souq Twaheen"", ""Tabuk Aquarium"", ""Tabuk Castle"", ""Tabuk Flower Festival"", ""Tabuk Heritage Museum"", ""Tabuk Park Mall"", ""Tabuk Rose Farm"", ""Tabuk Waterfall Park"", ""Tayma Wells"", ""Wadi Al Alqa"", ""Wadi Al Disah"", ""Wadi Dam"", ""Wadi Qaraqir""]"
Taghazout,Morocco,"[""Surfing and Relaxing""]"
Taif,Saudi arabia,"[""Al Faisaliah Garden"", ""Al Hada Mountain"", ""Al Hada Road"", ""Al Rudaf Park"", ""Al Shafa Mountain"", ""Al Shafa Village"", ""Al Shafa and Al Hada Mountains"", ""Al Shareef Museum"", ""Arruddaf Park"", ""Camel Races"", ""Ghazal Resort \u2013 Shifa"", ""Green Mountain Park"", ""Jabra Palace"", ""Masjid Al Kou"", ""Muawiyah Dam"", ""Rose Factory"", ""Saiysad National Park"", ""Shubra Palace"", ""Souq Okaz"", ""Strawberry Farm"", ""Taif Cable Car"", ""Taif Central Market"", ""Taif Regional Museum"", ""Taif Rose Plantation"", ""Taif Water Amusement Park"", ""Taif Zip Line"", ""Taif Zoo"", ""Teen Farm and Cafe"", ""Telefric Al Hasan"", ""Wadi Al Abyad"", ""Wadi Mitna""]"
Taiz,Yamen,"[""Al Janad Mosque"", ""Cairo Castle""]"
Tamerza,Tunisia,"[""Waterfalls and Ruins""]"
Tangier,Morocco,"[""American Legation Museum"", ""Caf\u00e9 Hafa"", ""Cap Spartel"", ""Dar el Makhzen"", ""Dine at Anna & Paolo"", ""Dine at El Morocco Club"", ""Drink at La Terrasse du 9 Avril"", ""Drink at Le Number One"", ""Enjoy Live Music at Tangerinn"", ""Experience Shisha at Caf\u00e9 Hafa"", ""Grand Mosque"", ""Grand Socco"", ""Grand Teatro Cervantes"", ""Hercules Cave"", ""Kasbah Museum"", ""Medina"", ""Medina of Tangier"", ""Moroccan Breakfast at a Local Caf\u00e9"", ""Night Walk on the Corniche"", ""Party at Le Miami Beach"", ""Perdicaris Park"", ""Petit Socco"", ""Plage Municipale"", ""St. Andrew\u2019s Church"", ""Tangier Beach Promenade"", ""Visit Petit Socco at Night"", ""Visit The Riad Tingis""]"
Tanomah,Saudi arabia,"[""Al Habala Hanging Village"", ""Horse Riding in Tanomah"", ""Marble Village"", ""Tanomah Mountains"", ""Tanomah Waterfalls"", ""Wadi Ghamd Forest""]"
Tanta,Egypt,"[""El Samadi Sweets"", ""Sweets at El Samadi""]"
Tarim,Yamen,"[""Explore Tarim""]"
Taroudant,Morocco,"[""Medina of Taroudant""]"
Tataouine,Tunisia,"[""Eat Berber Bread at a Local Market"", ""Enjoy M\u00e9choui in a Berber Village"", ""Ksar Ouled Soltane"", ""Star Wars Sites"", ""Try Harissa Sauce at a Local Market"", ""Try Kefteji at a Local Eatery""]"
Tembaine,Tunisia,"[""Desert Camping""]"
Tenerife,Spain,"[""Pyramids of G\u00fc\u00edmar""]"
Tenerife (Canary Islands),Spain,"[""Playa de Benijo""]"
Teruel (Aragon),Spain,"[""Albarrac\u00edn Village"", ""Mud\u00e9jar Architecture Route""]"
Thessaloniki,Greece,"[""Coffee at a Hidden Rooftop Caf\u00e9"", ""Explore the Ladadika District"", ""Visit the Rotunda""]"
Timimoun,Algeria,"[""Red Dunes""]"
Tinos,Greece,"[""Hike to Exomvourgo Castle"", ""Visit the Marble Village of Pyrgos"", ""Wine Tasting at Volacus Winery""]"
Tipasa,Algeria,"[""Tipasa Roman Ruins""]"
Tivat,Montenegro,"[""Discover St. Mark\u2019s Island"", ""Explore Gornja Lastva Village"", ""Relax at Kalardovo Beach"", ""Relax at Plavi Horizonti Beach"", ""Stroll through Porto Montenegro"", ""Visit the Maritime Heritage Museum""]"
Tlemcen,Algeria,"[""Great Mosque of Tlemcen"", ""Tlemcen National Park""]"
Toledo,Spain,"[""Mirador del Valle"", ""San Juan de los Reyes Monastery""]"
Tozeur,Tunisia,"[""Chebika Oasis"", ""Chott el Djerid"", ""Eat Couscous at Restaurant de la Paix"", ""Eden Palm"", ""Enjoy Date Pastries at a Local Bakery"", ""Folk Museum"", ""Medina of Tozeur"", ""Mid\u00e8s Canyon"", ""Ong Jemal (Camel Neck)"", ""Palm Grove"", ""Sahara Desert Experience"", ""Sahara Lounge"", ""Star Wars Site Mos Espa"", ""Tamerza Oasis"", ""Taste Mtabga at a Street Stall"", ""Taste Tunisian Baklava at Dar Chrait"", ""Tozeur Central Market"", ""Traditional Brickmaking"", ""Try Dates at a Local Market"", ""Zoo du Paradis""]"
Trabzon,Turkey,"[""Sumela Monastery""]"
Tripoli,Lebanon,"[""Al-Mina"", ""Citadel of Raymond de Saint-Gilles""]"
Trogir,Croatia,"[""Explore Trogir Old Town"", ""Visit \u010ciovo Island""]"
Troodos Mountains,Cyprus,"[""Experience a Traditional Cypriot Village"", ""Explore Omodos Village"", ""Explore the Secret Venetian Bridges"", ""Hike the Artemis Trail"", ""Hike the Caledonia Waterfalls Trail"", ""Stargazing at Troodos National Park"", ""Visit the Kykkos Monastery"", ""Visit the Painted Churches of Cyprus""]"
Tunis,Tunisia,"[""Avenue Habib Bourguiba"", ""Bab el Bhar"", ""Bardo Museum"", ""Belvedere Park"", ""Cathedral of St. Vincent de Paul"", ""Dar Ben Abdallah"", ""Dar Hussein"", ""Dine at Chez Nous"", ""Dine at Chez Slah"", ""Dine at Dar Belhadj"", ""Dine at Dar El Jeld"", ""Dine at Le Boeuf sur le Toit"", ""Dine at Le Comptoir de Tunis"", ""Dine at Le Grand Bleu"", ""Dine at Le Zink"", ""Drink at The Cliff"", ""Eat Lablabi at a Local Eatery"", ""Eat Ojja at Caf\u00e9 Saf Saf"", ""Eat Rouz Jerbi at Fondouk El Attarine"", ""Enjoy Fish Couscous at Le Golfe"", ""Enjoy Tunisian Breakfast at Caf\u00e9 Vert"", ""Enjoy Tunisian Mint Tea at Caf\u00e9 des Nattes"", ""Enjoy Tunisian Pastries at P\u00e2tisserie Masmoudi"", ""Enjoy a Show at Le Theatre de l\u2019Etoile du Nord"", ""Experience Shisha at Caf\u00e9 El Ali"", ""Explore Gammarth Nightclubs"", ""Ez-Zitouna Mosque"", ""La Goulette (Tunis Port)"", ""Medina of Tunis"", ""Night Stroll in La Marsa"", ""Place de la Kasbah"", ""Rue Sidi Brahim and Rue du Pacha"", ""Sample Bambalouni at Souk El Attarine"", ""Sample Desserts at P\u00e2tisserie Madame"", ""Sample Pastries at El Mida"", ""Sample Slata Mechouia at La Mamma"", ""Sidi Bou Said"", ""Taste Bouza at El Ali Restaurant"", ""Taste Fricass\u00e9 at a Local Stall"", ""Taste Grilled Mechouia Salad"", ""Taste Harissa Shrimp at Le Mignon"", ""Theatre Municipal de Tunis"", ""Try Baguette Farcie at a Street Stall"", ""Try Brik at El Ali Restaurant"", ""Try Harissa at Bab El Bhar Market"", ""Try Tunisian Kefteji at a Street Stall"", ""Try Tunisian Lamb Couscous at Dar Belhadj"", ""Try Zrir at a Local Bakery"", ""Tunisian Street Food"", ""Visit Havana Caf\u00e9"", ""Visit Le Carpe Diem"", ""Visit Plaza Corniche""]"
Tuscany,Italy,"[""Wine Tasting in Chianti""]"
Tyre,Lebanon,"[""Al-Bass Archaeological Site"", ""Roman Hippodrome""]"
Ulcinj,Montenegro,"[""Explore Ulcinj Old Town"", ""Hike to Valdanos Bay"", ""Relax on Velika Pla\u017ea (Long Beach)"", ""Try kiteboarding on Velika Pla\u017ea"", ""Visit the Ulcinj Saltworks (Solana)"", ""Visit the Valdanos Olive Grove""]"
Umm Al Quwain,United Arab Emirates,"[""Al Sinniyah Island"", ""Dreamland Aqua Park"", ""Umm Al Quwain Fort""]"
Umm Qais,Jordan,"[""Roman Ruins""]"
Valencia,Spain,"[""Albufera Natural Park"", ""Calle de Col\u00f3n's Underground Bunker""]"
Valletta,Malta,"[""Explore St. John\u2019s Co-Cathedral"", ""Strait Street\u2019s Nightlife"", ""The Lascaris War Rooms (Hidden Gem)"", ""Upper Barrakka Gardens""]"
Varaždin,Croatia,"[""Stroll Vara\u017edin Cemetery""]"
Venice,Italy,"[""Bacari Tour: Cicchetti & Wine"", ""Basilica di San Marco at Night"", ""Burano\u2019s Colorful Houses"", ""Ca\u2019 Rezzonico (Hidden Gem)"", ""Eat at a Traditional Osteria"", ""Explore Torcello Island (Hidden Gem)"", ""Explore the Hidden Canals"", ""Explore the Jewish Ghetto (Hidden Gem)"", ""Explore the Rialto Market"", ""Ghost Tour of Venice"", ""Gondola Ride at Sunset"", ""Hidden Courtyards of Venice"", ""Lido Beach Day"", ""Murano Glass Factory Tour"", ""Peggy Guggenheim Collection"", ""Ride the Vaporetto at Sunset"", ""San Giorgio Maggiore Bell Tower"", ""Scala Contarini del Bovolo (Hidden Gem)"", ""Secret Garden at Palazzo Soranzo Cappello (Hidden Gem)"", ""Secret Tour of the Doge\u2019s Palace"", ""Sunset Aperitivo on the Zattere"", ""T Fondaco dei Tedeschi Rooftop"", ""Take a Gondola Ride"", ""Teatro La Fenice"", ""Visit Libreria Acqua Alta"", ""Visit the Arsenal of Venice"", ""Watch a Venice Carnival Mask-Making Workshop""]"
Virpazar,Montenegro,"[""Walk the Panoramic Route \""Cemovsko Polje\"""", ""Wine tasting in Virpazar""]"
Vis,Croatia,"[""Discover Stiniva Cove"", ""Discover the Green Cave"", ""Hike to Mount Hum"", ""Swim in the Blue Cave"", ""Visit Bi\u0161evo Island and Monk Seal Cave""]"
Vukovar,Croatia,"[""Visit the Vukovar Water Tower""]"
Wadi Bani Khalid,Oman,"[""Natural Pools""]"
Wadi Mujib,Jordan,"[""Siq Trail""]"
Wadi Rum,Jordan,"[""Bedouin Bread Making"", ""Bedouin Dinner"", ""Bedouin Music Night"", ""Bedouin Zarb Experience"", ""Camel Milk Tasting"", ""Camel Ride"", ""Climb Burdah Rock Bridge"", ""Cooking Class at Bedouin Camp"", ""Desert Meditation"", ""Desert Yoga Session"", ""Enjoy Bedouin Tea"", ""Experience Bedouin Hospitality"", ""Explore Khazali Canyon"", ""Explore Mushroom Rock"", ""Hiking"", ""Hot Air Balloon Ride"", ""Jeep Tour"", ""Mountain Biking"", ""Overnight Camping"", ""Rock Climbing"", ""Sandboarding"", ""Stargazing"", ""Stargazing at Bedouin Camp"", ""Sunset Tea"", ""Sunset at Um Frouth Rock Arch"", ""Visit Abu Khashaba Canyon"", ""Visit Al-Hasany Dunes"", ""Visit Jabal Umm ad Dami"", ""Visit Lawrence\u2019s House"", ""Visit Lawrence\u2019s Spring"", ""Visit Red Sand Dunes"", ""Visit Seven Pillars of Wisdom"", ""Visit Siq Umm Tawaqi"", ""Visit the Martian Movie Set""]"
Wadi Shab,Oman,"[""Hiking and Swimming""]"
Wahiba Sands,Oman,"[""Camel Riding"", ""Desert Safari""]"
Western Sudan,Sudan,"[""Kordofan's Nuba Mountains""]"
Yanbu,Saudi arabia,"[""Al Fairouz Park"", ""Al Nawras Island"", ""Al-Mahar Island"", ""Bird Watching at Yanbu Wetlands"", ""Boat Tours"", ""Cycling Tour"", ""Dana Mall"", ""Desert Safari"", ""Horseback Riding"", ""Madina Road Cafes"", ""Mangrove Ecotour"", ""Pearl Farm Tour"", ""Red Sea Scuba Diving"", ""Relax at Flamingo Beach"", ""Seafood Dining at Al-Marsa Restaurant"", ""Snorkeling and Diving at Iona Wreck"", ""Sunset at Corniche"", ""Traditional Saudi Dining Experience"", ""Visit Yanbu Castle"", ""Visit to Al-Mahamid Beach"", ""Watersports at Sharm Yanbu"", ""Yanbu Al-Bahr Historic District"", ""Yanbu Art Gallery"", ""Yanbu Fish Market"", ""Yanbu Flower Festival"", ""Yanbu Historic Area"", ""Yanbu Industrial City Tour"", ""Yanbu Lake Park"", ""Yanbu Marina"", ""Yanbu Market Souq"", ""Yanbu Night Market"", ""Yanbu Waterfront""]"
Zabid,Yamen,"[""Great Mosque of Zabid"", ""Historic Town of Zabid""]"
Zadar,Croatia,"[""Hike in Paklenica National Park"", ""Listen to the Sea Organ"", ""Paddleboarding to Love Island"", ""Visit Nin\u2019s Saltworks""]"
Zagorje,Croatia,"[""Visit Trako\u0161\u0107an Castle""]"
Zagreb,Croatia,"[""Cycle Along the Sava River"", ""Discover the Museum of Broken Relationships"", ""Explore Mirogoj Cemetery"", ""Walk through the Upper Town (Gornji Grad)""]"
Zahle,Lebanon,"[""Our Lady of Zahle and Bekaa""]"
Zakynthos,Greece,"[""Blue Caves Boat Tour"", ""Keri Lighthouse Sunset View"", ""Secret Beach: Porto Limnionas"", ""Shipwreck Beach Viewpoint"", ""Turtle Watching in Laganas Bay""]"
Zallaq,Bahrain,"[""Al Areen Wildlife Park"", ""Lost Paradise of Dilmun Water Park""]"
Zamora,Spain,"[""Arribes del Duero Boat Tour"", ""Hidden Romanesque Churches""]"
Zaragoza,Spain,"[""El Tubo Tapas Alley"", ""Monasterio de Piedra""]"
Zarqa,Jordan,"[""Azraq Castle""]"
Zgharta,Lebanon,"[""Ehden Nature Reserve""]"
Zurrieq,Malta,"[""Blue Grotto Boat Ride""]"
eddah,Saudi arabia,"[""Moon Valley""]"
Šibenik,Croatia,"[""Discover Zlarin Island"", ""Discover the Fortress of St. Nicholas"", ""Paddleboarding in Prokljan Lake"", ""Visit St. James Cathedral""]"
Šolta Island,Croatia,"[""Hiking to Vela Stra\u017ea"", ""Swim in Tatinja Bay"", ""Taste Olive Oil at a Family Farm"", ""Wine Tasting in Grohote""]"
Žabljak,Montenegro,"[""Camp at Riblje Lake"", ""Ski at Durmitor Ski Resort"", ""Snowshoeing in Durmitor National Park"", ""Visit Ste\u0107ci Medieval Tombstones""]"
